train_params/lambda_sparsity,epoch,train_params/lambda_orient,train/loss_opaque,train/grad_norm,train_params/lambda_sds,lr-Adam/background,train/loss_orient,train/loss_sparsity,train_params/lambda_opaque,train/min_step,train/loss_sds,step,train/max_step,lr-Adam/geometry
,,,,,,0.001,,,,,,0,,0.01
1.0,0,10.0,0.14448846876621246,14.51272201538086,1.0,,0.01668592356145382,0.23456087708473206,0.0,20.0,105.3095474243164,0,980.0,
,,,,,,0.001,,,,,,1,,0.01
1.0,0,10.197999954223633,0.22570356726646423,18.474695205688477,1.0,,0.018944300711154938,0.33724600076675415,0.0,20.0,170.65719604492188,1,980.0,
,,,,,,0.001,,,,,,2,,0.01
1.0,0,10.395999908447266,0.1800180971622467,11.483036994934082,1.0,,0.018328310921788216,0.279485821723938,0.0,20.0,65.93006896972656,2,980.0,
,,,,,,0.001,,,,,,3,,0.01
1.0,0,10.593999862670898,0.09925764799118042,5.418402194976807,1.0,,0.016916615888476372,0.19247379899024963,0.0,20.0,14.679540634155273,3,980.0,
,,,,,,0.001,,,,,,4,,0.01
1.0,0,10.791999816894531,0.26317277550697327,11.356529235839844,1.0,,0.017406687140464783,0.3531562387943268,0.0,20.0,64.48538208007812,4,980.0,
,,,,,,0.001,,,,,,5,,0.01
1.0,0,10.989999771118164,0.15609945356845856,29.84372329711914,1.0,,0.01876676455140114,0.2582792043685913,0.0,20.0,445.32391357421875,5,980.0,
,,,,,,0.001,,,,,,6,,0.01
1.0,0,11.187999725341797,0.2602497935295105,36.862449645996094,1.0,,0.01670578494668007,0.351823091506958,0.0,20.0,679.4200439453125,6,980.0,
,,,,,,0.001,,,,,,7,,0.01
1.0,0,11.38599967956543,0.1334151029586792,21.28439712524414,1.0,,0.016577230766415596,0.22596269845962524,0.0,20.0,226.5127716064453,7,980.0,
,,,,,,0.001,,,,,,8,,0.01
1.0,0,11.583999633789062,0.14069963991641998,19.197290420532227,1.0,,0.016398172825574875,0.23276016116142273,0.0,20.0,184.26797485351562,8,980.0,
,,,,,,0.001,,,,,,9,,0.01
1.0,0,11.781999588012695,0.11926664412021637,23.7761173248291,1.0,,0.016412554308772087,0.21194593608379364,0.0,20.0,282.6518859863281,9,980.0,
,,,,,,0.001,,,,,,10,,0.01
1.0,0,11.979999542236328,0.19454404711723328,10.494842529296875,1.0,,0.022059133276343346,0.33919042348861694,0.0,20.0,55.07086181640625,10,980.0,
,,,,,,0.001,,,,,,11,,0.01
1.0,0,12.178000450134277,0.18198274075984955,8.82287311553955,1.0,,0.0166154857724905,0.27559733390808105,0.0,20.0,38.92154312133789,11,980.0,
,,,,,,0.001,,,,,,12,,0.01
1.0,0,12.37600040435791,0.18182846903800964,10.208306312561035,1.0,,0.020492075011134148,0.31908750534057617,0.0,20.0,52.104759216308594,12,980.0,
,,,,,,0.001,,,,,,13,,0.01
1.0,0,12.574000358581543,0.22619856894016266,13.064046859741211,1.0,,0.01746802218258381,0.32094597816467285,0.0,20.0,85.33465576171875,13,980.0,
,,,,,,0.001,,,,,,14,,0.01
1.0,0,12.772000312805176,0.3013095259666443,46.666419982910156,1.0,,0.016570499166846275,0.3871615529060364,0.0,20.0,1088.87744140625,14,980.0,
,,,,,,0.001,,,,,,15,,0.01
